region,cash capita,formal wage,child mortality,disabled,alcoholism,narcotism,gross product,living area,poor living conditions,general morbidity,teen pregnancy,brith,proverty percent,poverty children,poverty pensioner,poverty man,minerals mining,electricity and gas,water and garbage collection,manufacturing industries,industrial production,retail per capita,orhans,adopted children,number of pensioners,pension,living_wage,children %,population,retired %
Кемеровская область — Кузбасс,23141.666666666668,35708.0,378.59375,2322801.5,95.49166666666667,35.31666666666666,188432.1,16.3,0.1,86666.6,1866.5,32072.613124999996,16.31153846153846,39.7,4.5,55.8,916654980.525,97795766.8425,32715991.5475,620240616.1925,1667407355.2075,139066.44444444444,2096.875,1903.5,704709.8571428572,16742.06,10403.0,21.27300275875,2633446.0,25.157142857142862
Новосибирская область,28499.333333333332,34463.333333333336,326.6875,1928634.6666666667,69.425,26.208333333333332,196373.77200000003,16.3,1.1,76264.95,1421.5,33832.54124999999,25.04615384615385,34.1,4.4,61.5,67549565.975,64822280.66000001,20796745.5375,526400823.5175,679569415.69,181243.22222222222,688.875,871.5,694504.0,16370.4,11845.0,19.982271488749998,2785836.0,24.599999999999998
Омская область,25742.5,31826.166666666668,257.90625,1337388.5,71.78333333333335,11.125,178710.56399999998,16.9,0.3,88733.5,1132.5333333333335,24406.615625,19.111538461538462,38.8,5.1,56.2,3121227.45,52907289.650000006,11134680.774999999,895609084.2225,962772282.0975001,169246.11111111112,581.0,714.625,495861.0,15662.88,10324.0,20.90419617125,1903675.0,24.571428571428573
Томская область,27370.5,40624.666666666664,141.8125,649031.5,87.94999999999999,14.216666666666663,252385.984,16.9,0.4,71028.35,1009.1,12830.999375,18.376923076923077,42.2,3.6,54.2,176564442.0,35486983.277499996,8525704.075,185826651.87499997,406403781.3275,142619.22222222222,439.5,506.25,254532.7142857143,18072.01,11850.0,20.62310691875,1070339.0,22.514285714285712
Республика Бурятия,24480.333333333332,34592.333333333336,172.1875,787016.0,64.375,5.791666666666668,126111.24,17.2,2.6,60954.6,1059.1666666666667,15347.311249999999,29.89230769230769,41.7,3.7,54.6,34718663.175,26144253.657500003,2294639.8575,74400145.8725,137557702.5625,175618.88888888888,417.375,725.75,202208.85714285713,16093.87,12333.0,26.2978249725,985431.0,19.728571428571428
Республика Саха (Якутия),41844.833333333336,65881.33333333333,199.09375,557478.0,241.46666666666667,7.408333333333335,445547.972,16.5,1.1,103609.70000000001,1822.3666666666668,15041.310625,21.684615384615377,44.2,5.1,50.7,778524891.175,67625405.80250001,6149267.15,36594250.4725,888893814.55,219827.33333333334,526.125,549.125,220330.85714285713,22501.13,17824.0,27.142126336249994,981971.0,16.585714285714285
Забайкальский край,23932.666666666668,38373.5,214.3125,831253.0,129.82500000000002,7.466666666666668,141752.932,17.1,0.9,67719.95,1664.3,15797.249375,34.4076923076923,33.4,7.2,59.3,124267867.85,33936623.075,3242204.3999999994,26805987.7625,188252683.0625,148510.66666666666,1425.625,718.125,221499.57142857142,15932.04,12999.0,24.84079071,1053485.0,20.057142857142857
Камчатский край,48132.0,70722.83333333333,48.375,142419.5,153.75,8.35,324625.056,15.9,2.0,79468.65,1427.3666666666668,3834.875,20.115384615384617,42.6,5.9,51.5,23851252.125,20883110.525,2800434.9,123604719.1,171139516.625,176961.66666666666,297.125,145.5,81718.14285714286,24560.4,21524.0,20.467565183750004,311667.0,20.214285714285715
Приморский край,33902.0,41116.666666666664,300.25,1139707.8333333333,100.48333333333333,32.425000000000004,214573.54,15.7,1.4,71697.25,1630.6666666666667,22051.930624999997,25.407692307692304,49.6,4.2,46.2,22455433.7375,66199283.85,9961084.045,250033929.115,348649730.7475,198118.44444444444,1915.75,946.125,459629.85714285716,16964.78,14025.0,19.23778905125,1877844.0,24.285714285714285
Хабаровский край,38567.666666666664,45182.333333333336,205.875,698636.3333333334,136.90833333333333,10.525,249471.188,15.4,0.2,67013.45000000001,1201.8,16668.5625,19.157692307692308,32.7,6.4,60.9,54872070.24999999,57531118.0,12990158.049999999,319078735.8125,444472082.1125,230455.0,1192.125,696.0,331342.5714285714,19178.5,15569.0,20.19356464875,1301127.0,22.599999999999998
Амурская область,30861.5,41014.333333333336,174.84375,689333.6666666666,119.93333333333334,25.683333333333334,196049.81199999995,17.3,0.3,83665.5,1763.2,10224.059375,26.188461538461546,38.4,4.7,56.9,80939265.325,40325051.675,3183552.825,35828147.2,160276017.125,205867.0,744.5,582.375,187448.42857142858,17101.09,13530.0,22.211413442500003,781846.0,22.514285714285712
Магаданская область,58826.833333333336,82467.5,26.4375,53288.666666666664,346.14166666666665,20.566666666666666,488520.87200000003,13.8,0.0,68714.79999999999,4021.9,1678.375,17.915384615384617,45.8,11.5,54.2,76366952.75,16682955.124999998,999898.1000000001,91562618.8175,185612424.7925,214824.22222222222,230.25,59.125,40223.0,24535.98,20830.0,20.63277497125,139034.0,21.014285714285712
Сахалинская область,53568.333333333336,75366.83333333333,68.25,228219.5,315.02500000000003,29.799999999999997,860733.34,17.2,0.0,82027.2,3441.4,6156.676875,18.892307692307693,44.9,12.1,43.0,846310542.275,18330060.9525,3436313.85,61498004.3,929574921.3774999,294622.77777777775,299.0,263.625,145305.57142857142,21655.01,16130.0,21.016273803749996,485621.0,22.97142857142857
Еврейская автономная область,24975.5,37558.166666666664,46.125,133875.83333333334,174.60000000000002,28.566666666666663,157024.00400000002,13.8,0.5,68677.5,1718.4333333333332,2186.0625,22.21923076923077,34.8,10.8,54.4,12247185.225,4597385.475,463655.725,6364508.75,23672735.175,144836.0,330.125,122.5,37462.42857142857,16481.73,15416.0,22.73442909,156500.0,22.485714285714288
Чукотский автономный округ,75961.83333333333,97464.16666666667,19.46875,17199.5,486.01666666666665,2.85,724122.6760000001,14.1,1.7,118067.15,1694.3,669.4375,11.93846153846154,51.0,2.7,49.0,42658962.75,9914401.924999999,507877.575,40664565.3,93745807.55000001,168237.55555555556,54.0,41.125,12337.42857142857,28426.68,23999.0,25.24734485875,49527.0,14.171428571428569
