region,cash capita,formal wage,child mortality,disabled,alcoholism,narcotism,gross product,living area,poor living conditions,general morbidity,teen pregnancy,brith,proverty percent,poverty children,poverty pensioner,poverty man,minerals mining,electricity and gas,water and garbage collection,manufacturing industries,industrial production,retail per capita,orhans,adopted children,number of pensioners,pension,living_wage,children %,population,retired %
Тамбовская область,26593.833333333332,25865.5,105.0625,1159993.1666666667,105.45833333333331,3.2249999999999996,144409.12,19.7,0.3,64812.75,1675.2666666666667,9434.561249999999,17.476923076923075,33.5,7.6,58.9,226047.8,15585229.28,3787303.6724999994,164407488.6225,184006069.29999998,185064.66666666666,268.625,199.625,291929.4285714286,15005.06,10178.0,16.6029463275,994420.0,30.08571428571429
Тверская область,25350.833333333332,29876.5,166.875,1029240.1666666666,117.88333333333337,7.6499999999999995,153685.604,17.5,0.3,88438.65,632.9,13530.498749999999,21.542307692307695,31.0,3.8,65.1,818245.15,97523356.29999998,7650470.09,310013951.4375,416006022.9275,175691.11111111112,442.0,545.625,363694.85714285716,16276.23,11138.0,18.1714169325,1245619.0,29.057142857142857
Тульская область,27441.833333333332,33716.0,160.15625,1555811.3333333333,121.12499999999999,6.358333333333334,172046.40399999998,16.6,0.5,72066.1,1103.8999999999999,13678.560625,15.753846153846156,38.8,5.3,56.0,6901331.625,52475929.900000006,12656186.575000001,731226136.6425,803259584.7425,184551.22222222222,475.75,355.5,365303.0,17346.6,10999.0,16.254712742499997,1449115.0,30.17142857142857
Ярославская область,27634.666666666668,32216.333333333332,116.0625,1082093.8333333333,120.0,9.041666666666666,196090.46400000004,15.8,0.3,87847.54999999999,1165.5,13513.123124999998,16.17307692307692,31.9,2.3,65.8,1459038.625,44894081.375,10014057.775,386209357.31749994,442576535.09250003,179946.55555555556,528.875,338.875,358271.0,16895.38,10668.0,18.59582014,1241424.0,25.042857142857144
г. Москва,68295.0,81277.66666666667,934.2352941176471,10738639.5,51.81666666666667,14.833333333333334,666775.68,13.8,0.2,63887.45,29.900000000000002,126391.95749999999,13.246153846153845,38.4,13.2,48.5,1483556769.8249998,821841736.6,162852200.425,6690318143.4,9158568850.3725,381303.22222222225,1751.125,1139.75,2629444.285714286,17840.8,17740.0,16.3624661825,12655050.0,26.828571428571426
Республика Карелия,28694.333333333332,37844.333333333336,68.59375,649637.5,178.8416666666667,5.666666666666667,201989.98,17.1,1.7,111896.45,1420.9666666666665,7024.435000000001,17.588461538461537,39.0,3.0,58.1,84099106.925,26187020.175,3682623.8,116973843.5775,230942594.4775,187858.77777777778,299.0,216.375,210027.14285714287,20329.67,14196.0,19.951755412500003,609071.0,26.67142857142857
Республика Коми,33560.5,48616.833333333336,119.40625,658566.3333333334,159.9416666666667,17.058333333333334,354481.54400000005,15.5,3.6,109454.3,2441.1,10671.30625,16.673076923076923,40.1,6.6,53.3,361085663.3,44297418.47,7317547.375,188525587.55,601226216.6949999,186469.0,883.875,351.125,257856.57142857142,20987.87,14567.0,22.020304464999995,813590.0,22.114285714285717
Ненецкий автономный округ,76707.66666666667,80050.5,8.53125,30787.166666666668,242.29999999999998,8.891666666666666,2313806.2086956524,20.9,4.1,140189.45,2943.2333333333336,670.75,9.053846153846154,45.6,2.0,52.4,308749444.075,3981916.7500000005,527223.1875,9904088.049999999,323162672.0625,205996.0,62.5,32.25,11658.285714285714,25659.98,21757.0,26.95241063,44389.0,18.97142857142857
Архангельская область,31840.0,43617.166666666664,143.375,906544.1666666666,95.42222222222223,3.255555555555555,165659.65652173915,16.9,0.7,100714.75,1738.5999999999997,12909.499375,13.833333333333336,28.5,7.2,64.3,31165007.900000002,33846746.80500001,5585370.305,243549474.995,314146600.005,216156.77777777778,988.25,466.25,367776.71428571426,20534.57,13304.0,20.32935614875,1082662.0,27.442857142857147
Вологодская область,27058.5,34297.833333333336,156.03125,1018757.5,99.68333333333332,9.183333333333334,228138.928,16.9,0.3,90274.5,528.1,14235.561249999999,17.86923076923077,43.1,2.3,54.6,669063.05,40798652.67,8383994.975,674438091.52,724289802.215,152468.66666666666,614.875,631.5,318940.71428571426,17270.71,11428.0,20.791159465,1151042.0,25.971428571428568
Калининградская область,27261.166666666668,32327.0,99.78125,733852.8333333334,92.15833333333332,8.299999999999999,204617.41200000004,15.6,1.5,76454.25,486.8333333333333,10735.68125,19.984615384615388,29.1,6.1,64.8,17517609.650000002,40667273.05,6931951.5,554925126.585,620041960.7850001,163340.33333333334,375.125,241.75,232510.85714285713,15817.67,12084.0,19.14198646125,1018624.0,24.957142857142856
Ленинградская область,30088.166666666668,41325.333333333336,118.53125,1438040.3333333333,95.90833333333332,17.783333333333335,264457.96,17.0,1.6,64176.549999999996,612.6999999999999,14647.6875,21.519230769230774,19.0,17.0,64.1,14594450.200000001,144040150.25,16499354.325,1052756373.95,1227890328.725,209093.33333333334,646.75,558.5,426627.4285714286,17118.65,11289.0,16.69770325,1892711.0,27.271428571428572
Мурманская область,40922.5,56300.333333333336,90.3125,301545.1666666667,114.10833333333333,26.149999999999995,312435.43200000003,17.7,0.6,85433.1,753.3333333333334,8342.06125,15.803846153846155,43.7,0.4,55.8,136686851.2,57964703.940000005,9267728.58,353013923.45,556933207.175,218585.55555555556,330.75,217.75,224775.57142857142,21865.26,17723.0,20.23037542125,732864.0,21.75714285714286
Новгородская область,25706.0,30229.333333333332,73.78125,616694.5,154.24166666666665,12.1,196229.27599999998,17.6,0.0,89095.05,670.6666666666666,6602.934375000001,19.51923076923077,40.1,1.3,58.6,1221826.225,20157764.0,3294941.05,198496487.55,223171018.7,183923.22222222222,170.125,252.875,171898.14285714287,16591.98,11352.0,19.039895744999995,592415.0,29.17142857142857
Псковская область,23780.166666666668,25903.166666666668,82.5,507972.1666666667,147.65833333333333,11.175000000000002,122982.07200000001,15.0,0.0,68390.8,661.6666666666666,6563.185,23.21153846153847,29.6,9.3,61.0,1959051.65,11748870.575,5282303.75,111416275.9,130406501.875,172898.88888888888,281.375,266.125,178365.42857142858,15891.14,11441.0,18.014985423749998,620249.0,29.371428571428574
г. Санкт-Петербург,43499.0,56931.666666666664,413.75,6107657.166666667,44.925000000000004,18.908333333333335,355494.408,15.7,0.1,97324.25,519.6333333333333,58191.984999999986,13.926923076923076,25.7,9.8,64.6,29306675.700000003,211623404.925,66071914.125,2520337441.5249996,2827339436.275,251650.22222222222,1495.25,842.875,1318910.5714285714,18121.61,11910.0,16.383031445,5384342.0,26.628571428571426
Республика Адыгея (Адыгея),26924.666666666668,26584.666666666668,53.65625,353184.1666666667,117.06666666666666,27.544444444444444,107133.48800000001,19.6,3.0,66094.3,330.1333333333334,5166.18375,25.48076923076923,44.6,5.4,50.1,3066325.625,3044502.0250000004,1750526.5750000002,50554393.625,58415747.85,200947.55555555556,33.375,164.625,103181.42857142857,14803.15,9876.0,21.305339625000002,463167.0,25.142857142857142
Республика Калмыкия,17105.666666666668,25170.833333333332,47.9375,227142.66666666666,87.8111111111111,12.11111111111111,110568.75200000001,20.2,0.0,68861.1,132.86666666666667,3700.8125,41.79615384615385,33.8,0.3,65.9,0.0,2943488.7249999996,0.0,866245.105,5976591.147500001,74042.66666666667,18.25,61.875,58344.28571428572,14185.45,10443.0,23.926232175000003,269984.0,21.614285714285717
Республика Крым,20024.166666666668,28219.0,107.28571428571429,1317359.8333333333,0.0,0.0,59827.64782608696,19.0,0.4,52444.75,1852.9333333333334,9030.0625,19.583333333333336,48.2,1.7,50.1,12125549.15,39936970.975,7529568.524999999,92924518.435,152516607.085,128618.875,163.875,475.0,497698.6666666667,14753.52,11074.0,19.42278379,1901578.0,27.7
Краснодарский край,34074.5,32387.0,569.34375,4458424.5,82.94444444444444,22.244444444444444,190935.80400000003,18.1,1.0,66145.15,887.1,64698.486874999995,20.807692307692307,39.3,6.9,53.8,48578062.05,115584589.76499999,30647632.3225,958763552.8225,1153573836.96,237485.55555555556,372.625,1177.25,1359581.857142857,15542.26,11261.0,20.261766042500003,5683947.0,25.742857142857144
Астраханская область,23899.5,31866.5,145.71875,463602.8333333333,115.06666666666666,8.455555555555556,186836.00400000002,19.2,0.2,63367.850000000006,661.6,13403.935624999998,20.36538461538462,42.1,5.5,52.4,290498866.85,28662224.7,5713025.7975,67181972.225,392056089.5725,169976.22222222222,408.625,427.375,216465.57142857142,14775.47,10793.0,21.933635484999996,997778.0,23.8
Волгоградская область,22899.0,29850.666666666668,320.28125,1835274.3333333333,105.53333333333333,15.5,161774.264,17.9,0.6,64322.45,725.4000000000001,26740.798125,19.738461538461536,46.2,4.0,49.8,51153306.375,71067731.9375,18490929.3,821964051.3824999,962676018.995,149409.88888888888,353.0,905.125,644197.0,15777.05,9864.0,18.772043145,2474556.0,26.985714285714288
Ростовская область,28582.5,30170.666666666668,551.4375,3740300.5,77.24444444444445,10.5,152250.328,18.2,0.5,80601.6,1309.0666666666666,44723.35249999999,18.95,43.9,1.6,54.5,32842315.625,153807890.14499998,35008989.025000006,850696384.9125,1072355579.6075,211610.22222222222,561.75,1227.75,1066319.2857142857,15314.42,10787.0,18.474006613750003,4181486.0,26.7
г. Севастополь,26865.833333333332,29421.5,19.428571428571427,215428.16666666666,0.0,0.0,66155.12608695652,13.7,1.2,51587.8,701.2333333333332,2051.061875,11.85,45.2,2.1,52.7,0.0,9683072.7,0.0,14017744.65,28074537.674999997,138725.75,36.5,80.625,102144.0,15856.21,11396.0,18.17077031125,509992.0,26.742857142857144
Республика Дагестан,26623.333333333332,24190.166666666668,698.625,3176434.6666666665,30.88888888888889,16.433333333333334,94801.812,22.5,0.7,79789.35,246.26666666666668,50170.424374999995,30.815384615384616,38.3,5.0,56.7,5012344.35,19621097.549999997,2125155.1750000003,44104514.0,70863111.075,189148.33333333334,127.125,507.875,374554.14285714284,13567.11,10465.0,28.98536768875,3133303.0,13.528571428571428
Республика Ингушетия,16064.166666666666,24857.333333333332,122.625,591987.6666666666,1.0888888888888888,3.6222222222222222,57095.112,27.8,0.0,67861.85,274.3,8937.747500000001,50.49615384615385,38.1,10.6,51.3,1163110.425,1183899.9375,587482.925,2084606.875,5019100.1625,47648.22222222222,0.0,104.75,44778.71428571428,16292.12,10353.0,32.426316035,515564.0,12.328571428571427
Кабардино-Балкарская Республика,20569.666666666668,24720.166666666668,130.3125,604395.6666666666,79.66666666666667,23.366666666666667,84900.384,18.9,0.5,45707.2,196.5333333333333,11785.871874999999,29.2923076923077,35.9,6.7,57.4,323572.94999999995,9138004.9,1335262.55,32968677.869999997,43765518.245,145186.33333333334,101.875,152.25,149605.85714285713,13329.9,11311.0,23.82785532,869191.0,19.91428571428571
Карачаево-Черкесская Республика,18200.166666666668,24490.833333333332,71.375,541110.8333333334,61.133333333333326,21.37777777777778,84695.48800000001,18.3,1.7,66186.2,187.0,5727.991249999999,31.630769230769225,27.6,6.9,65.5,2770560.175,9519976.8,1281382.0,29686571.650000002,43258490.625,81167.77777777778,81.75,91.75,85425.0,14453.3,10277.0,22.863087193749998,465357.0,21.7
Республика Северная Осетия — Алания,23077.5,25829.333333333332,102.125,662106.8333333334,61.92222222222222,7.98888888888889,102162.86799999999,16.4,2.2,71479.85,50.133333333333326,9633.998124999998,21.973076923076917,34.8,6.8,58.4,674591.775,9059991.525,1569211.8000000003,21136800.55,32440595.65,154792.11111111112,122.875,110.625,164931.7142857143,15154.8,9854.0,23.23422336125,693098.0,22.842857142857145
Чеченская Республика,23330.5,25364.0,368.9655172413793,1730544.5,19.38888888888889,10.077777777777778,59785.5,19.2,0.4,56307.95,418.76666666666665,32349.106874999994,9.405555555555555,43.7,6.2,50.1,5169622.175,19031511.15,1735623.35,10858456.4,36795213.075,110248.44444444444,0.0,336.125,194732.14285714287,15276.24,11240.0,37.578352295,1497992.0,10.114285714285714
Ставропольский край,22733.166666666668,28220.5,368.6875,2222457.8333333335,52.266666666666666,17.433333333333334,120022.11600000001,19.0,0.5,57594.100000000006,607.8333333333334,32139.736249999994,24.93076923076923,39.2,1.9,58.9,10890881.375,77458091.94999999,11092583.875,290906191.5,390347748.75,176767.33333333334,798.5,652.625,602059.1428571428,15114.33,9777.0,20.577898296249998,2792796.0,24.042857142857144
Республика Башкортостан,28903.333333333332,32225.0,562.75,2667438.6666666665,100.58333333333333,9.458333333333334,186549.52400000003,17.4,0.3,84716.1,988.6333333333332,52001.60937499999,17.692307692307693,40.1,4.5,55.4,267563216.325,132644913.7675,25599343.475,1203815317.3700001,1629622790.9374998,210419.44444444444,878.25,1382.625,974313.7142857143,16192.29,9834.0,22.1597987175,4013786.0,23.571428571428573
Республика Марий Эл,19778.333333333332,26877.5,87.0,661144.5,125.16666666666667,6.550000000000001,119959.90800000001,16.5,1.0,92493.8,1042.8999999999999,8509.748125,35.10769230769231,32.8,5.8,61.5,736715.275,11831215.7775,5623352.95,153565910.3975,171757194.4,122354.44444444444,233.125,171.5,172500.57142857142,15071.34,9846.0,21.194819742500002,675332.0,25.014285714285716
Республика Мордовия,18784.166666666668,26038.0,76.71875,730052.6666666666,133.35833333333335,7.591666666666665,129067.204,20.0,0.0,67150.4,550.6666666666666,7377.246875000001,29.63076923076923,26.8,12.1,61.2,94286.04999999999,12515915.0,4474408.025,200033500.375,217118109.425,109921.33333333333,192.0,94.875,211531.0,15187.69,9378.0,16.855836415000002,778965.0,27.371428571428574
Республика Татарстан (Татарстан),33778.333333333336,34007.666666666664,447.3125,2997838.1666666665,76.76666666666667,11.966666666666667,275448.456,16.2,0.6,79905.29999999999,724.4333333333334,48107.235624999994,13.38846153846154,42.0,7.3,50.7,625296919.375,139786086.1025,37070421.074999996,1853920125.825,2656073552.4775,223452.11111111112,529.25,951.125,959911.5714285715,16306.04,9600.0,20.937255096250002,3894120.0,24.357142857142858
Удмуртская Республика,24368.833333333332,30437.0,204.1875,1101490.3333333333,112.39166666666665,10.125000000000002,185753.64,14.8,0.6,97955.0,2360.1,19424.999375,20.92307692307692,49.9,2.7,47.5,221480490.5,40183564.65,10125888.625,360656412.34000003,632446356.115,147003.33333333334,766.25,482.75,380778.0,16444.31,10314.0,22.23239272125,1493356.0,24.371428571428574
